"nspname","oid","typname","typtype","typnotnull","elemtypoid"
pg_catalog,700,float4,b,false,
pg_catalog,23,int4,b,false,
pg_catalog,24,regproc,b,false,
pg_catalog,25,text,b,false,
pg_catalog,26,oid,b,false,
pg_catalog,27,tid,b,false,
pg_catalog,28,xid,b,false,
pg_catalog,29,cid,b,false,
pg_catalog,30,oidvector,b,false,
pg_catalog,114,json,b,false,
pg_catalog,142,xml,b,false,
pg_catalog,194,pg_node_tree,b,false,
pg_catalog,3361,pg_ndistinct,b,false,
pg_catalog,3402,pg_dependencies,b,false,
pg_catalog,5017,pg_mcv_list,b,false,
pg_catalog,5069,xid8,b,false,
pg_catalog,600,point,b,false,
pg_catalog,601,lseg,b,false,
pg_catalog,602,path,b,false,
pg_catalog,603,box,b,false,
pg_catalog,604,polygon,b,false,
pg_catalog,628,line,b,false,
pg_catalog,22,int2vector,b,false,
pg_catalog,701,float8,b,false,
pg_catalog,705,unknown,p,false,
pg_catalog,718,circle,b,false,
pg_catalog,790,money,b,false,
pg_catalog,829,macaddr,b,false,
pg_catalog,869,inet,b,false,
pg_catalog,650,cidr,b,false,
pg_catalog,774,macaddr8,b,false,
pg_catalog,1033,aclitem,b,false,
pg_catalog,1042,bpchar,b,false,
pg_catalog,1043,varchar,b,false,
pg_catalog,1082,date,b,false,
pg_catalog,1083,time,b,false,
pg_catalog,1114,timestamp,b,false,
pg_catalog,1184,timestamptz,b,false,
pg_catalog,1186,interval,b,false,
pg_catalog,1266,timetz,b,false,
pg_catalog,1560,bit,b,false,
pg_catalog,1562,varbit,b,false,
pg_catalog,1700,numeric,b,false,
pg_catalog,1790,refcursor,b,false,
pg_catalog,2202,regprocedure,b,false,
pg_catalog,2203,regoper,b,false,
pg_catalog,2204,regoperator,b,false,
pg_catalog,2205,regclass,b,false,
pg_catalog,4191,regcollation,b,false,
pg_catalog,2206,regtype,b,false,
pg_catalog,4096,regrole,b,false,
pg_catalog,4089,regnamespace,b,false,
pg_catalog,2950,uuid,b,false,
pg_catalog,3220,pg_lsn,b,false,
pg_catalog,3614,tsvector,b,false,
pg_catalog,3642,gtsvector,b,false,
pg_catalog,3615,tsquery,b,false,
pg_catalog,3734,regconfig,b,false,
pg_catalog,3769,regdictionary,b,false,
pg_catalog,3802,jsonb,b,false,
pg_catalog,4072,jsonpath,b,false,
pg_catalog,2970,txid_snapshot,b,false,
pg_catalog,5038,pg_snapshot,b,false,
pg_catalog,2249,record,p,false,
pg_catalog,16,bool,b,false,
pg_catalog,17,bytea,b,false,
pg_catalog,2278,void,p,false,
pg_catalog,4600,pg_brin_bloom_summary,b,false,
pg_catalog,4601,pg_brin_minmax_multi_summary,b,false,
pg_catalog,18,char,b,false,
pg_catalog,19,name,b,false,
pg_catalog,20,int8,b,false,
pg_catalog,21,int2,b,false,
pg_catalog,3908,tsrange,r,false,1114
pg_catalog,3904,int4range,r,false,23
pg_catalog,3906,numrange,r,false,1700
pg_catalog,3912,daterange,r,false,1082
pg_catalog,3926,int8range,r,false,20
pg_catalog,3910,tstzrange,r,false,1184
pg_catalog,4534,tstzmultirange,m,false,3910
pg_catalog,4535,datemultirange,m,false,3912
pg_catalog,4536,int8multirange,m,false,3926
pg_catalog,4451,int4multirange,m,false,3904
pg_catalog,4532,nummultirange,m,false,3906
pg_catalog,4533,tsmultirange,m,false,3908
information_schema,13236,character_data,d,false,1043
information_schema,13233,cardinal_number,d,false,23
information_schema,13246,yes_or_no,d,false,1043
information_schema,13244,time_stamp,d,false,1184
information_schema,13238,sql_identifier,d,false,19
information_schema,13245,_yes_or_no,a,false,13246
pg_catalog,2287,_record,a,false,2249
pg_catalog,1000,_bool,a,false,16
pg_catalog,1001,_bytea,a,false,17
pg_catalog,1002,_char,a,false,18
pg_catalog,1003,_name,a,false,19
pg_catalog,1016,_int8,a,false,20
pg_catalog,1005,_int2,a,false,21
pg_catalog,1006,_int2vector,a,false,22
pg_catalog,1007,_int4,a,false,23
pg_catalog,1008,_regproc,a,false,24
pg_catalog,1009,_text,a,false,25
pg_catalog,1028,_oid,a,false,26
pg_catalog,1010,_tid,a,false,27
pg_catalog,1011,_xid,a,false,28
pg_catalog,1012,_cid,a,false,29
pg_catalog,1013,_oidvector,a,false,30
pg_catalog,199,_json,a,false,114
pg_catalog,143,_xml,a,false,142
pg_catalog,271,_xid8,a,false,5069
pg_catalog,1017,_point,a,false,600
pg_catalog,1018,_lseg,a,false,601
pg_catalog,1019,_path,a,false,602
pg_catalog,1020,_box,a,false,603
pg_catalog,1027,_polygon,a,false,604
pg_catalog,629,_line,a,false,628
pg_catalog,1021,_float4,a,false,700
pg_catalog,1022,_float8,a,false,701
pg_catalog,719,_circle,a,false,718
pg_catalog,791,_money,a,false,790
pg_catalog,1040,_macaddr,a,false,829
pg_catalog,1041,_inet,a,false,869
pg_catalog,651,_cidr,a,false,650
pg_catalog,775,_macaddr8,a,false,774
pg_catalog,1034,_aclitem,a,false,1033
pg_catalog,1014,_bpchar,a,false,1042
pg_catalog,1015,_varchar,a,false,1043
pg_catalog,1182,_date,a,false,1082
pg_catalog,1183,_time,a,false,1083
pg_catalog,1115,_timestamp,a,false,1114
pg_catalog,1185,_timestamptz,a,false,1184
pg_catalog,1187,_interval,a,false,1186
pg_catalog,1270,_timetz,a,false,1266
pg_catalog,1561,_bit,a,false,1560
pg_catalog,1563,_varbit,a,false,1562
pg_catalog,1231,_numeric,a,false,1700
pg_catalog,2201,_refcursor,a,false,1790
pg_catalog,2207,_regprocedure,a,false,2202
pg_catalog,2208,_regoper,a,false,2203
pg_catalog,2209,_regoperator,a,false,2204
pg_catalog,2210,_regclass,a,false,2205
pg_catalog,4192,_regcollation,a,false,4191
pg_catalog,2211,_regtype,a,false,2206
pg_catalog,4097,_regrole,a,false,4096
pg_catalog,4090,_regnamespace,a,false,4089
pg_catalog,2951,_uuid,a,false,2950
pg_catalog,3221,_pg_lsn,a,false,3220
pg_catalog,3643,_tsvector,a,false,3614
pg_catalog,3644,_gtsvector,a,false,3642
pg_catalog,3645,_tsquery,a,false,3615
pg_catalog,3735,_regconfig,a,false,3734
pg_catalog,3770,_regdictionary,a,false,3769
pg_catalog,3807,_jsonb,a,false,3802
pg_catalog,4073,_jsonpath,a,false,4072
